,total_population,state,county,tract
0,10552,Missouri,Cass County,060301
1,5079,Missouri,Cass County,060400
2,3968,Missouri,Cass County,061200
3,8156,Missouri,Cass County,060302
4,4316,Missouri,Cass County,061100
5,4517,Missouri,Cass County,060001
6,8256,Missouri,Cass County,060600
7,7290,Missouri,Cass County,061002
8,1548,Missouri,Cass County,060100
9,3603,Missouri,Cass County,060700
10,2977,Missouri,Cass County,060500
11,4507,Missouri,Cass County,061001
12,5774,Missouri,Cass County,060800
13,4711,Missouri,Cass County,060305
14,3882,Missouri,Cass County,060003
15,5485,Missouri,Cass County,060004
16,4883,Missouri,Cass County,060202
17,3618,Missouri,Cass County,060904
18,5602,Missouri,Cass County,061300
19,4873,Missouri,Cass County,061400
